001  00119 |Loss: 1.829 | Acc: 57.721% 
001  00120 |Loss: 1.822 | Acc: 57.760% 
001  00121 |Loss: 1.813 | Acc: 57.825% 
001  00122 |Loss: 1.802 | Acc: 57.966% 
001  00123 |Loss: 1.795 | Acc: 58.003% 
001  00124 |Loss: 1.786 | Acc: 58.115% 
001  00125 |Loss: 1.778 | Acc: 58.225% 
001  00126 |Loss: 1.769 | Acc: 58.309% 
001  00127 |Loss: 1.762 | Acc: 58.391% 
001  00128 |Loss: 1.756 | Acc: 58.398% 
001  00129 |Loss: 1.748 | Acc: 58.551% 
001  00130 |Loss: 1.745 | Acc: 58.510% 
001  00131 |Loss: 1.739 | Acc: 58.540% 
001  00132 |Loss: 1.730 | Acc: 58.594% 
001  00133 |Loss: 1.725 | Acc: 58.647% 
001  00134 |Loss: 1.718 | Acc: 58.699% 
001  00135 |Loss: 1.709 | Acc: 58.866% 
001  00136 |Loss: 1.701 | Acc: 59.030% 
001  00137 |Loss: 1.694 | Acc: 59.170% 
001  00138 |Loss: 1.687 | Acc: 59.262% 
001  00139 |Loss: 1.679 | Acc: 59.353% 
001  00140 |Loss: 1.672 | Acc: 59.420% 
001  00141 |Loss: 1.667 | Acc: 59.464% 
001  00142 |Loss: 1.661 | Acc: 59.485% 
001  00143 |Loss: 1.656 | Acc: 59.550% 
001  00144 |Loss: 1.649 | Acc: 59.614% 
001  00145 |Loss: 1.642 | Acc: 59.806% 
001  00146 |Loss: 1.637 | Acc: 60.039% 
001  00147 |Loss: 1.630 | Acc: 60.119% 
001  00148 |Loss: 1.623 | Acc: 60.198% 
001  00149 |Loss: 1.617 | Acc: 60.298% 
001  00150 |Loss: 1.610 | Acc: 60.438% 
001  00151 |Loss: 1.603 | Acc: 60.513% 
001  00152 |Loss: 1.596 | Acc: 60.629% 
001  00153 |Loss: 1.590 | Acc: 60.682% 
001  00154 |Loss: 1.584 | Acc: 60.755% 
001  00155 |Loss: 1.577 | Acc: 60.948% 
001  00156 |Loss: 1.574 | Acc: 60.978% 
001  00157 |Loss: 1.567 | Acc: 61.146% 
001  00158 |Loss: 1.561 | Acc: 61.234% 
001  00159 |Loss: 1.556 | Acc: 61.281% 
001  00160 |Loss: 1.552 | Acc: 61.328% 
001  00161 |Loss: 1.547 | Acc: 61.374% 
001  00162 |Loss: 1.541 | Acc: 61.439% 
